,race_total_count,census_tract,white_alone_percentage_total,black_or_african_american_alone_percentage_total,american_indian_and_alaska_native_alone_percentage_total,asian_alone_percentage_total,native_hawaiian_and_other_pacific_islander_alone_percentage_total,some_other_race_alone_percentage_total
"Census Tract 96.03, Adams County, Colorado","5,371",08001009603,0.727052690374232,0.025879724446099425,0.02885868553342022,0.046173896853472354,0.0011171104077452988,0.17091789238503072
"Census Tract 96.04, Adams County, Colorado","3,940",08001009604,0.6911167512690355,0.033248730964467,0.03299492385786802,0.04898477157360406,0.0007614213197969543,0.19289340101522842
"Census Tract 96.06, Adams County, Colorado","2,723",08001009606,0.5325009181050312,0.04590525156077855,0.03598971722365039,0.028277634961439587,0.0003672420124862284,0.356959236136614
"Census Tract 96.07, Adams County, Colorado","4,100",08001009607,0.6246341463414634,0.025365853658536587,0.03,0.12634146341463415,0.0014634146341463415,0.19219512195121952
"Census Tract 96.08, Adams County, Colorado","2,439",08001009608,0.7388273882738827,0.015580155801558016,0.024190241902419023,0.09143091430914309,0.0008200082000820008,0.12915129151291513
"Census Tract 97.51, Adams County, Colorado","3,336",08001009751,0.5719424460431655,0.016486810551558755,0.03207434052757794,0.016486810551558755,0.0044964028776978415,0.35851318944844124
"Census Tract 97.52, Adams County, Colorado","2,318",08001009752,0.6031061259706644,0.013805004314063849,0.0362381363244176,0.030629853321829163,0.0021570319240724763,0.31406384814495253
"Census Tract 150, Adams County, Colorado","2,521",08001001500,0.5612852042840143,0.028560095200317333,0.03927013090043634,0.009123363744545815,0.001190003966679889,0.3605712019040063
"Census Tract 600.01, Adams County, Colorado","2,299",08001060001,0.8534145280556764,0.0156589821661592,0.007394519356241845,0.061765985210961286,0.0026098303610265334,0.05915615484993476
"Census Tract 600.02, Adams County, Colorado","3,776",08001060002,0.8326271186440678,0.013771186440677966,0.0060911016949152545,0.10407838983050847,0.00026483050847457627,0.043167372881355935
"Census Tract 601, Adams County, Colorado","6,217",08001006010,0.7797973299018819,0.01511983271674441,0.010616052758565224,0.0891105034582596,0.00048254785266205565,0.10487373331188676
"Census Tract 602, Adams County, Colorado","4,603",08001006020,0.8153378231588094,0.028676949815337822,0.023028459700195524,0.059091896589180966,0.0008689984792526613,0.07299587225722355
"Census Tract 612, Adams County, Colorado","3,346",08001006120,0.8230723251643753,0.02958756724447101,0.00986252241482367,0.08876270173341302,0.0005977286312014345,0.04811715481171548
"Census Tract 49.51, Arapahoe County, Colorado","1,348",08005004951,0.7470326409495549,0.08382789317507418,0.022997032640949554,0.04302670623145401,0.000741839762611276,0.10237388724035608
"Census Tract 49.52, Arapahoe County, Colorado","2,650",08005004952,0.7554716981132076,0.061886792452830186,0.009433962264150943,0.04415094339622642,0.0015094339622641509,0.12754716981132075
"Census Tract 55.51, Arapahoe County, Colorado","2,651",08005005551,0.5688419464353074,0.07846095812900793,0.04111655978875896,0.05582798943794794,0.0007544322897019992,0.25499811391927574
"Census Tract 55.52, Arapahoe County, Colorado","2,371",08005005552,0.6845212990299452,0.052298608182201604,0.027836355967946015,0.04175453395191902,0.0025305778152678194,0.19105862505272037
"Census Tract 55.53, Arapahoe County, Colorado","3,327",08005005553,0.7547339945897205,0.026149684400360685,0.030357679591223326,0.05199879771565975,0.0,0.13675984370303576
"Census Tract 56.11, Arapahoe County, Colorado","4,563",08005005611,0.9232960771422309,0.010957703265395573,0.006355467893929432,0.026517641902257288,0.003287310979618672,0.029585798816568046
"Census Tract 56.12, Arapahoe County, Colorado","3,326",08005005612,0.8553818400481058,0.017438364401683705,0.01803968731208659,0.016235718580877932,0.0018039687312086591,0.09110042092603728
"Census Tract 56.14, Arapahoe County, Colorado","2,983",08005005614,0.9349648005363728,0.008045591686221924,0.003352329869259135,0.028830036875628563,0.002011397921555481,0.022795843110962118
"Census Tract 56.19, Arapahoe County, Colorado","4,101",08005005619,0.9192879785418191,0.009509875640087784,0.009509875640087784,0.018532065349914657,0.000243842965130456,0.04291636186296025
"Census Tract 56.20, Arapahoe County, Colorado","2,378",08005005620,0.9201009251471826,0.012195121951219513,0.0054667788057190915,0.020185029436501262,0.0,0.04205214465937763
"Census Tract 56.21, Arapahoe County, Colorado","2,795",08005005621,0.9617173524150269,0.0032200357781753132,0.005724508050089445,0.018246869409660107,0.00035778175313059033,0.01073345259391771
"Census Tract 56.22, Arapahoe County, Colorado","3,234",08005005622,0.9341372912801484,0.010822510822510822,0.00463821892393321,0.02937538651824366,0.0,0.021026592455163882
"Census Tract 56.23, Arapahoe County, Colorado","3,782",08005005623,0.9508196721311475,0.006874669487043892,0.0037017451084082496,0.021152829190904283,0.0,0.017451084082496033
"Census Tract 56.24, Arapahoe County, Colorado","2,005",08005005624,0.941147132169576,0.010473815461346634,0.0029925187032418953,0.02144638403990025,0.00199501246882793,0.021945137157107233
"Census Tract 56.25, Arapahoe County, Colorado","3,622",08005005625,0.8939812258420762,0.015461071231363888,0.011043622308117063,0.04168967421314191,0.0005521811154058532,0.037272225289895086
"Census Tract 56.26, Arapahoe County, Colorado","3,198",08005005626,0.8977485928705441,0.01813633520950594,0.010944340212632896,0.03721075672295184,0.00031269543464665416,0.03564727954971857
"Census Tract 56.27, Arapahoe County, Colorado","4,308",08005005627,0.9600742804085423,0.007892293407613741,0.0016248839368616526,0.019730733519034354,0.0,0.010677808727948004
