"GEO_ID","NAME","B25024_001E","B25024_001EA","B25024_001M","B25024_001MA","B25024_002E","B25024_002EA","B25024_002M","B25024_002MA","B25024_003E","B25024_003M","B25024_003MA","B25024_003EA","B25024_004E","B25024_004M","B25024_004MA","B25024_004EA","B25024_005E","B25024_005EA","B25024_005M","B25024_005MA","B25024_006E","B25024_006EA","B25024_006M","B25024_006MA","B25024_007E","B25024_007M","B25024_007MA","B25024_007EA","B25024_008E","B25024_008M","B25024_008MA","B25024_008EA","B25024_009E","B25024_009M","B25024_009MA","B25024_009EA","B25024_010E","B25024_010EA","B25024_010M","B25024_010MA","B25024_011E","B25024_011EA","B25024_011M","B25024_011MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!1, detached","Annotation of Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Annotation of Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Annotation of Margin of Error!!Total:!!1, attached","Annotation of Estimate!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Annotation of Margin of Error!!Total:!!2","Annotation of Estimate!!Total:!!2","Estimate!!Total:!!3 or 4","Annotation of Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Annotation of Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Annotation of Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Annotation of Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Annotation of Margin of Error!!Total:!!10 to 19","Annotation of Estimate!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Annotation of Margin of Error!!Total:!!20 to 49","Annotation of Estimate!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Annotation of Margin of Error!!Total:!!50 or more","Annotation of Estimate!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Annotation of Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Annotation of Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Annotation of Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.","Annotation of Margin of Error!!Total:!!Boat, RV, van, etc.",
"1400000US08059011731","Census Tract 117.31, Jefferson County, Colorado","2081","null","177","null","771","null","163","null","341","90","null","null","22","35","null","null","125","null","62","null","240","null","78","null","342","93","null","null","111","52","null","null","129","63","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011732","Census Tract 117.32, Jefferson County, Colorado","2588","null","194","null","18","null","29","null","182","75","null","null","53","82","null","null","96","null","97","null","634","null","166","null","811","192","null","null","480","185","null","null","314","156","null","null","0","null","18","null","0","null","18","null",
"1400000US08059011733","Census Tract 117.33, Jefferson County, Colorado","1139","null","85","null","203","null","52","null","211","50","null","null","0","13","null","null","38","null","26","null","119","null","61","null","70","54","null","null","141","61","null","null","357","81","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011803","Census Tract 118.03, Jefferson County, Colorado","2152","null","209","null","1398","null","201","null","226","81","null","null","30","48","null","null","166","null","139","null","230","null","90","null","59","57","null","null","0","18","null","null","0","18","null","null","43","null","45","null","0","null","18","null",
"1400000US08059011804","Census Tract 118.04, Jefferson County, Colorado","1651","null","142","null","1248","null","143","null","90","46","null","null","29","27","null","null","0","null","13","null","45","null","46","null","10","17","null","null","55","46","null","null","93","63","null","null","81","null","77","null","0","null","13","null",
"1400000US08059011806","Census Tract 118.06, Jefferson County, Colorado","2320","null","207","null","1025","null","224","null","314","120","null","null","156","158","null","null","0","null","18","null","109","null","89","null","13","21","null","null","194","132","null","null","322","142","null","null","187","null","120","null","0","null","18","null",
"1400000US08059011807","Census Tract 118.07, Jefferson County, Colorado","1632","null","213","null","20","null","30","null","144","67","null","null","0","13","null","null","15","null","24","null","49","null","42","null","238","203","null","null","407","132","null","null","759","177","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011808","Census Tract 118.08, Jefferson County, Colorado","1667","null","205","null","18","null","30","null","31","38","null","null","0","13","null","null","0","null","13","null","281","null","118","null","410","210","null","null","441","130","null","null","486","175","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011904","Census Tract 119.04, Jefferson County, Colorado","1608","null","153","null","274","null","57","null","364","140","null","null","10","17","null","null","134","null","69","null","152","null","71","null","288","100","null","null","158","79","null","null","228","83","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011951","Census Tract 119.51, Jefferson County, Colorado","1904","null","192","null","884","null","151","null","356","94","null","null","34","54","null","null","71","null","78","null","90","null","65","null","161","86","null","null","216","119","null","null","66","70","null","null","26","null","34","null","0","null","13","null",
